subject,rt,accuracy,residual_rt
001,897.4599168180072,0.94,849.5396256740701
002,928.7137715370008,1.0,716.0437731582123
003,1516.9174198559974,0.99,1176.4146390946316
004,1561.3699644080764,0.9393939393939394,1164.804917699752
005,1393.6153487049999,0.96,840.4756018943901
006,884.8242944020811,0.9375,1069.2206896031785
007,1172.892210494001,0.99,798.3590490167384
008,767.2312243646451,0.9292929292929293,653.2274303305534
009,1574.700044516996,0.97,1331.3330580776067
010,1034.9058794949983,0.95,852.8233240404436
011,1252.8016047350006,0.95,1193.1576388069468
012,859.6403961013325,1.0,608.8604812563265
014,999.2423252464771,0.9436619718309859,884.6904649670012
015,894.5766475027017,0.9594594594594594,565.9500728172104
016,1046.9701838546641,0.96,777.936444679681
017,1019.3437865493121,0.9726027397260274,730.7345451973958
018,993.711894504003,0.96,865.454354609019
019,1248.9308810413295,0.9333333333333333,946.2537361713278
020,1134.9314038279995,0.9733333333333334,926.4636150629992
021,709.2135659079986,0.9866666666666667,619.5156241130032
024,775.5532232533312,0.41333333333333333,958.2946569433353
